city,state_id,state_name,county_name,lat,lng
Boardman,OH,Ohio,Mahoning,41.0334,-80.6671
Bolindale,OH,Ohio,Trumbull,41.2089,-80.7784
Bolivar,OH,Ohio,Tuscarawas,40.6506,-81.4555
Boston Heights,OH,Ohio,Summit,41.2539,-81.509
Botkins,OH,Ohio,Shelby,40.4587,-84.1782
Bourneville,OH,Ohio,Ross,39.2829,-83.1596
Bowerston,OH,Ohio,Harrison,40.4273,-81.1874
Bowersville,OH,Ohio,Greene,39.5808,-83.7232
Bowling Green,OH,Ohio,Wood,41.3773,-83.65
Bradford,OH,Ohio,Miami,40.1319,-84.4293
Bradner,OH,Ohio,Wood,41.3237,-83.4363
Bratenahl,OH,Ohio,Cuyahoga,41.5546,-81.6046
Brecksville,OH,Ohio,Cuyahoga,41.3079,-81.6193
Brecon,OH,Ohio,Hamilton,39.2797,-84.3521
Bremen,OH,Ohio,Fairfield,39.7059,-82.4296
Brewster,OH,Ohio,Stark,40.7135,-81.5992
Brice,OH,Ohio,Franklin,39.9174,-82.8319
Bridgeport,OH,Ohio,Belmont,40.0673,-80.7473
Bridgetown,OH,Ohio,Hamilton,39.1551,-84.6359
Brilliant,OH,Ohio,Jefferson,40.2701,-80.6318
Brimfield,OH,Ohio,Portage,41.0941,-81.3483
Broadview Heights,OH,Ohio,Cuyahoga,41.3195,-81.6782
Brook Park,OH,Ohio,Cuyahoga,41.4036,-81.8219
Brookfield Center,OH,Ohio,Trumbull,41.2383,-80.5548
Brooklyn,OH,Ohio,Cuyahoga,41.4349,-81.7498
Brooklyn Heights,OH,Ohio,Cuyahoga,41.4178,-81.668
Brookside,OH,Ohio,Belmont,40.0708,-80.7606
Brookville,OH,Ohio,Montgomery,39.8393,-84.4176
Broughton,OH,Ohio,Paulding,41.088,-84.5351
Brownsville,OH,Ohio,Licking,39.9438,-82.2517
Brunswick,OH,Ohio,Medina,41.2464,-81.8198
Bryan,OH,Ohio,Williams,41.4706,-84.5484
Buchtel,OH,Ohio,Athens,39.4634,-82.181
Buckeye Lake,OH,Ohio,Licking,39.9355,-82.4826
Buckland,OH,Ohio,Auglaize,40.6235,-84.2599
Bucyrus,OH,Ohio,Crawford,40.8054,-82.9719
Buffalo,OH,Ohio,Guernsey,39.9169,-81.5204
Buford,OH,Ohio,Highland,39.072,-83.8393
Burbank,OH,Ohio,Wayne,40.9862,-81.9949
Burgoon,OH,Ohio,Sandusky,41.2674,-83.2508
Burkettsville,OH,Ohio,Mercer,40.353,-84.6426
Burlington,OH,Ohio,Lawrence,38.4099,-82.5283
Burton,OH,Ohio,Geauga,41.4708,-81.1456
Butler,OH,Ohio,Richland,40.5896,-82.4211
Butlerville,OH,Ohio,Warren,39.3017,-84.0903
Byesville,OH,Ohio,Guernsey,39.9735,-81.5459
Cadiz,OH,Ohio,Harrison,40.2644,-80.9981
Cairo,OH,Ohio,Allen,40.8307,-84.0847
Calcutta,OH,Ohio,Columbiana,40.6847,-80.5624
Caldwell,OH,Ohio,Noble,39.7467,-81.5127
Caledonia,OH,Ohio,Marion,40.6363,-82.9694
Cambridge,OH,Ohio,Guernsey,40.0221,-81.5868
Camden,OH,Ohio,Preble,39.6374,-84.6445
Camp Dennison,OH,Ohio,Hamilton,39.1946,-84.2896
Campbell,OH,Ohio,Mahoning,41.0777,-80.5904
Canal Fulton,OH,Ohio,Stark,40.8895,-81.5882
Canal Lewisville,OH,Ohio,Coshocton,40.299,-81.8402
Canal Winchester,OH,Ohio,Fairfield,39.8432,-82.8121
Candlewood Lake,OH,Ohio,Morrow,40.6214,-82.7764
Canfield,OH,Ohio,Mahoning,41.0315,-80.7672
Canton,OH,Ohio,Stark,40.8075,-81.3677
Carbon Hill,OH,Ohio,Hocking,39.502,-82.2426
Cardington,OH,Ohio,Morrow,40.498,-82.8937
Carey,OH,Ohio,Wyandot,40.9499,-83.3826
Carlisle,OH,Ohio,Warren,39.5807,-84.3201
Carroll,OH,Ohio,Fairfield,39.8027,-82.7063
Carrollton,OH,Ohio,Carroll,40.5788,-81.0907
Casstown,OH,Ohio,Miami,40.0528,-84.1285
Castalia,OH,Ohio,Erie,41.4011,-82.808
Castine,OH,Ohio,Darke,39.9311,-84.6247
Catawba,OH,Ohio,Clark,39.9996,-83.6219
Cecil,OH,Ohio,Paulding,41.219,-84.6018
Cedarville,OH,Ohio,Greene,39.7471,-83.8109
Celeryville,OH,Ohio,Huron,41.0287,-82.7273
Celina,OH,Ohio,Mercer,40.5551,-84.5629
Centerburg,OH,Ohio,Knox,40.3039,-82.6979
Centerville,OH,Ohio,Montgomery,39.6339,-84.1449
Chagrin Falls,OH,Ohio,Cuyahoga,41.4321,-81.3887
Champion Heights,OH,Ohio,Trumbull,41.3031,-80.8514
Chardon,OH,Ohio,Geauga,41.5803,-81.2082
Chatfield,OH,Ohio,Crawford,40.9511,-82.942
Chauncey,OH,Ohio,Athens,39.4005,-82.1261
Cherry Fork,OH,Ohio,Adams,38.8872,-83.6126
Cherry Grove,OH,Ohio,Hamilton,39.0802,-84.322
Chesapeake,OH,Ohio,Lawrence,38.4298,-82.4489
Cheshire,OH,Ohio,Gallia,38.9502,-82.113
Chesterhill,OH,Ohio,Morgan,39.4908,-81.8667
Chesterland,OH,Ohio,Geauga,41.5213,-81.3363
Chesterville,OH,Ohio,Morrow,40.4777,-82.6818
Cheviot,OH,Ohio,Hamilton,39.1577,-84.6139
Chickasaw,OH,Ohio,Mercer,40.4367,-84.4936
Chillicothe,OH,Ohio,Ross,39.3393,-82.9937
Chilo,OH,Ohio,Clermont,38.7934,-84.1373
Chippewa Lake,OH,Ohio,Medina,41.0737,-81.9047
Chippewa Park,OH,Ohio,Logan,40.516,-83.8875
Choctaw Lake,OH,Ohio,Madison,39.9609,-83.4874
Christiansburg,OH,Ohio,Champaign,40.0567,-84.0254
Churchill,OH,Ohio,Trumbull,41.1692,-80.666
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5061
Cinnamon Lake,OH,Ohio,Ashland,40.9835,-82.1914
Circleville,OH,Ohio,Pickaway,39.6063,-82.9334
Clarington,OH,Ohio,Monroe,39.7763,-80.8647
Clarksburg,OH,Ohio,Ross,39.5059,-83.1541
Clarksville,OH,Ohio,Clinton,39.4016,-83.9828
Clarktown,OH,Ohio,Scioto,38.8498,-82.9085
Clay Center,OH,Ohio,Ottawa,41.5732,-83.3643
Clayton,OH,Ohio,Montgomery,39.8689,-84.3292
Cleveland,OH,Ohio,Cuyahoga,41.4767,-81.6804
Cleveland Heights,OH,Ohio,Cuyahoga,41.5112,-81.5636
Cleves,OH,Ohio,Hamilton,39.1635,-84.7469
Clifton,OH,Ohio,Clark,39.7972,-83.8257
Clinton,OH,Ohio,Summit,40.9284,-81.6304
Cloverdale,OH,Ohio,Putnam,41.0193,-84.3035
Clyde,OH,Ohio,Sandusky,41.3046,-82.9782
Coal Grove,OH,Ohio,Lawrence,38.4976,-82.6423
Coalton,OH,Ohio,Jackson,39.1117,-82.611
Coldstream,OH,Ohio,Hamilton,39.0479,-84.3474
Coldwater,OH,Ohio,Mercer,40.4833,-84.6317
College Corner,OH,Ohio,Preble,39.5682,-84.8109
Collins,OH,Ohio,Huron,41.2508,-82.4915
Columbiana,OH,Ohio,Columbiana,40.8871,-80.675
Columbus,OH,Ohio,Franklin,39.9862,-82.985
Columbus Grove,OH,Ohio,Putnam,40.9205,-84.0598
Commercial Point,OH,Ohio,Pickaway,39.7813,-83.0383
Concorde Hills,OH,Ohio,Hamilton,39.211,-84.3572
Conesville,OH,Ohio,Coshocton,40.1851,-81.892
Congress,OH,Ohio,Wayne,40.9255,-82.0557
Conneaut,OH,Ohio,Ashtabula,41.9278,-80.5685
Connorville,OH,Ohio,Jefferson,40.1938,-80.7176
Continental,OH,Ohio,Putnam,41.1001,-84.2727
Convoy,OH,Ohio,Van Wert,40.9177,-84.7053
Coolville,OH,Ohio,Athens,39.2201,-81.7977
Corning,OH,Ohio,Perry,39.6016,-82.0876
Cortland,OH,Ohio,Trumbull,41.332,-80.7195
Corwin,OH,Ohio,Warren,39.5249,-84.0676
Coshocton,OH,Ohio,Coshocton,40.2618,-81.848
Covedale,OH,Ohio,Hamilton,39.1267,-84.637
Covington,OH,Ohio,Miami,40.1174,-84.3508
Craig Beach,OH,Ohio,Mahoning,41.116,-80.9828
Crestline,OH,Ohio,Crawford,40.7836,-82.7458
Creston,OH,Ohio,Wayne,40.9769,-81.8998
Cridersville,OH,Ohio,Auglaize,40.6509,-84.1427
Crooksville,OH,Ohio,Perry,39.769,-82.0956
Crown City,OH,Ohio,Gallia,38.5901,-82.2912
Crystal Lakes,OH,Ohio,Clark,39.8861,-84.0242
Crystal Rock,OH,Ohio,Erie,41.448,-82.8419
Cumberland,OH,Ohio,Guernsey,39.8535,-81.6587
Curtice,OH,Ohio,Ottawa,41.616,-83.3744
Custar,OH,Ohio,Wood,41.2846,-83.8438
Cuyahoga Falls,OH,Ohio,Summit,41.1641,-81.5207
Cuyahoga Heights,OH,Ohio,Cuyahoga,41.435,-81.6562
Cygnet,OH,Ohio,Wood,41.2407,-83.6437
Dalton,OH,Ohio,Wayne,40.7986,-81.7033
Damascus,OH,Ohio,Mahoning,40.9042,-80.9524
Danville,OH,Ohio,Knox,40.447,-82.2608
Darbydale,OH,Ohio,Franklin,39.8545,-83.1795
Darbyville,OH,Ohio,Pickaway,39.6957,-83.1139
Darrtown,OH,Ohio,Butler,39.4975,-84.669
Day Heights,OH,Ohio,Clermont,39.1755,-84.2275
Dayton,OH,Ohio,Montgomery,39.7797,-84.1998
De Graff,OH,Ohio,Logan,40.3127,-83.9167
Deer Park,OH,Ohio,Hamilton,39.2039,-84.3977
Deersville,OH,Ohio,Harrison,40.3083,-81.188
Defiance,OH,Ohio,Defiance,41.281,-84.3661
Delaware,OH,Ohio,Delaware,40.2866,-83.0747
